District,Crop,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Area_Hectares,Production_Tonnes,Recommended_Fertilizer,Fertilizer_Quantity_per_Hectare,Organic_Input,Organic_Quantity_per_Hectare,Expected_Yield_Increase_Percent
Satara,Onion,Rabi,7.49,29,25,21,19.5,59.8,739,1793,10224,Zinc Sulphate,119,Cow Dung,1276,13.2
Kolhapur,Grapes,Kharif,6.88,39,27,13,25.5,58.2,1073,4166,5156,Ferrous Sulphate,82,Vermicompost,756,19.6
Kolhapur,Grapes,Kharif,7.03,30,24,14,28.0,66.5,499,2023,6082,Magnesium Sulphate,154,Vermicompost,1354,10.2
Ahmednagar,Wheat,Kharif,7.87,27,25,32,23.1,90.2,726,928,2372,28-28-0,106,Cow Dung,1134,6.6
Sangli,Wheat,Kharif,6.91,27,6,39,26.0,72.0,432,4322,6241,12-32-16,104,FYM,955,11.9
Satara,Pomegranate,Kharif,7.01,14,7,17,24.6,43.6,542,2934,8115,20-20-0,156,Vermicompost,546,11.0
Solapur,Soyabean,Rabi,6.52,20,27,15,19.1,69.2,643,3057,8394,Magnesium Sulphate,190,Cow Dung,1855,18.5
Satara,Sugarcane,Kharif,7.34,22,19,30,26.5,58.8,1135,2645,9261,14-35-14,100,Compost,509,16.0
Solapur,Onion,Kharif,7.28,12,11,37,27.7,53.7,1125,2347,1171,12-32-16,141,Compost,643,7.8
Sangli,Sugarcane,Summer,7.72,26,8,12,26.6,73.4,1031,710,836,17-17-17,102,Vermicompost,1954,23.2
Ahmednagar,Sugarcane,Rabi,6.54,34,16,32,32.4,65.9,1079,3194,9657,17-17-17,85,Vermicompost,1675,16.9
Ahmednagar,Grapes,Summer,6.63,27,5,17,24.7,94.8,616,3212,6476,Single Super Phosphate,182,Compost,986,14.2
Satara,Pomegranate,Rabi,7.63,23,21,28,24.4,63.6,833,4271,7849,Urea,168,Cow Dung,1659,23.7
Ahmednagar,Cotton(lint),Rabi,7.2,21,8,30,34.7,62.3,1128,4035,3730,10-26-26,74,Cow Dung,1549,6.9
Nashik,Cotton(lint),Rabi,6.28,23,8,20,21.0,79.4,453,1319,327,Potash,130,Cow Dung,1530,20.8
Nashik,Grapes,Kharif,8.05,35,26,27,23.5,65.3,1119,4756,6765,Ammonium Sulphate,86,FYM,1090,12.3
Solapur,Pomegranate,Summer,5.64,27,27,19,27.4,52.3,991,1344,14108,14-35-14,68,Vermicompost,1538,18.9
Sangli,Onion,Rabi,7.63,39,29,35,30.5,54.4,550,1059,5811,12-32-16,84,FYM,1955,23.6
Kolhapur,Sugarcane,Rabi,5.99,29,13,37,29.7,61.1,454,2141,6256,Urea,156,FYM,1398,15.4
Nashik,Soyabean,Rabi,8.51,11,25,29,21.8,72.9,916,1807,3670,12-32-16,103,FYM,1923,5.5
Solapur,Pomegranate,Summer,5.76,16,14,21,32.5,80.3,847,2014,8736,Potash,55,FYM,706,5.6
Ahmednagar,Sugarcane,Rabi,7.92,24,23,29,27.9,74.6,434,4693,8093,10-26-26,178,Cow Dung,1409,11.6
Sangli,Cotton(lint),Summer,6.93,37,23,37,22.7,71.8,518,1241,14775,Magnesium Sulphate,83,Vermicompost,1739,20.6
Solapur,Sugarcane,Summer,6.71,19,19,38,23.1,78.2,596,1103,13735,10-26-26,105,Vermicompost,1982,10.8
Solapur,Wheat,Kharif,7.15,24,26,17,26.3,72.5,965,2891,1719,Muriate of Potash,146,FYM,758,11.7
Nashik,Wheat,Rabi,7.51,26,21,28,34.6,54.2,1170,2454,12985,Ammonium Sulphate,75,Vermicompost,1852,20.7
Pune,Soyabean,Rabi,6.28,20,11,30,26.8,62.4,1173,3612,2304,Calcium Nitrate,140,Compost,953,7.3
Sangli,Onion,Summer,6.35,11,7,25,34.6,58.8,913,3754,2803,14-35-14,87,Cow Dung,1298,21.9
Satara,Sugarcane,Summer,7.52,36,9,36,29.5,80.1,993,1872,11342,10-26-26,108,Vermicompost,874,10.3
Solapur,Wheat,Kharif,5.63,30,20,30,21.0,53.5,821,1321,7842,Potash,176,Cow Dung,963,6.0
Nashik,Onion,Rabi,6.53,27,27,27,31.6,53.8,916,1769,11794,Muriate of Potash,73,Compost,574,7.3
Satara,Pomegranate,Summer,9.43,34,11,18,22.2,67.0,1085,302,11918,17-17-17,160,Cow Dung,741,24.1
Sangli,Pomegranate,Rabi,6.23,13,20,13,23.5,88.1,538,2818,7674,Ferrous Sulphate,70,Compost,1540,14.0
Nashik,Wheat,Rabi,7.92,18,13,18,27.1,73.8,1104,1609,9473,Urea,109,FYM,1782,10.1
Satara,Onion,Rabi,6.53,36,5,34,25.9,77.5,1049,786,11548,17-17-17,139,Vermicompost,622,15.4
Kolhapur,Onion,Summer,7.41,37,7,11,29.6,51.7,1027,1978,897,Muriate of Potash,197,FYM,1834,18.6
Solapur,Wheat,Rabi,7.52,26,29,18,28.0,73.0,443,2240,14926,Ammonium Sulphate,55,Vermicompost,610,11.4
Kolhapur,Grapes,Summer,7.9,26,12,18,25.5,51.7,618,1052,9126,17-17-17,59,FYM,1779,19.5
Pune,Cotton(lint),Kharif,6.84,26,22,27,32.8,73.8,967,3035,3099,Urea,189,Compost,733,10.0
Ahmednagar,Onion,Kharif,8.59,39,28,20,24.1,46.1,1153,1972,10324,Ammonium Sulphate,146,Vermicompost,1467,7.2
Sangli,Pomegranate,Summer,6.53,25,28,22,22.0,60.9,657,3802,12744,12-32-16,199,FYM,996,16.0
Ahmednagar,Grapes,Rabi,7.19,29,22,15,27.9,40.4,912,4187,2864,14-35-14,129,Cow Dung,1563,8.0
Ahmednagar,Sugarcane,Kharif,7.2,34,28,18,25.9,54.4,776,3752,10701,DAP,66,Cow Dung,1645,23.8
Satara,Grapes,Kharif,6.1,17,23,25,27.0,47.9,688,3242,3784,Calcium Nitrate,187,FYM,1973,5.0
Pune,Wheat,Summer,6.77,32,11,13,29.0,72.8,869,3884,11567,Magnesium Sulphate,189,Compost,1226,20.1
Sangli,Grapes,Summer,7.13,24,29,11,25.3,66.1,502,4488,8299,Ammonium Sulphate,132,FYM,591,10.6
Kolhapur,Cotton(lint),Summer,6.65,10,24,16,33.4,59.4,548,4477,10811,Magnesium Sulphate,89,Cow Dung,1884,21.9
Ahmednagar,Wheat,Summer,8.95,28,10,24,27.1,66.4,483,3577,10511,17-17-17,123,Vermicompost,1646,6.2
Satara,Soyabean,Summer,6.33,34,29,34,24.2,55.0,425,390,6339,14-35-14,123,Vermicompost,836,24.1
Ahmednagar,Sugarcane,Summer,7.94,24,15,15,28.4,68.9,574,2438,3974,14-35-14,99,FYM,1012,7.0
Nashik,Pomegranate,Summer,7.69,18,9,20,25.7,64.1,1134,3537,13717,DAP,59,Vermicompost,1102,20.8
Kolhapur,Soyabean,Rabi,6.99,14,16,36,26.5,92.4,1040,1750,12020,28-28-0,152,Cow Dung,927,15.3
Ahmednagar,Grapes,Rabi,6.31,25,5,39,21.6,84.6,821,1283,3429,DAP,143,Vermicompost,1956,13.6
Nashik,Onion,Rabi,6.39,37,23,29,22.0,76.3,1053,2620,14909,20-20-0,181,FYM,506,10.6
Nashik,Grapes,Rabi,6.59,22,15,26,30.2,68.5,745,2348,6169,14-35-14,178,FYM,619,21.8
Satara,Pomegranate,Kharif,5.57,25,19,13,21.1,70.0,701,187,11663,14-35-14,92,FYM,886,9.0
Satara,Pomegranate,Rabi,6.2,31,29,28,25.5,79.9,697,2848,5684,DAP,132,Cow Dung,1873,19.4
Nashik,Onion,Kharif,5.81,20,20,16,27.3,68.5,534,2980,8905,14-35-14,182,Compost,1140,13.9
Pune,Soyabean,Kharif,8.08,22,7,20,31.7,69.2,454,3970,8980,Calcium Nitrate,153,Vermicompost,1621,25.0
Ahmednagar,Soyabean,Kharif,7.49,15,15,22,24.1,58.1,455,4232,9189,Zinc Sulphate,83,FYM,1566,17.2
Nashik,Onion,Summer,7.63,35,15,36,29.0,56.8,773,1883,13739,10-26-26,73,Compost,682,7.1
Nashik,Cotton(lint),Kharif,7.47,29,14,35,25.5,63.7,987,2189,8401,20-20-0,191,FYM,1196,13.4
Satara,Sugarcane,Kharif,7.13,26,6,30,17.3,33.6,738,257,13097,12-32-16,90,FYM,1064,6.3
Ahmednagar,Wheat,Kharif,8.17,14,24,37,26.2,64.7,856,2283,11304,Single Super Phosphate,62,Cow Dung,1758,10.7
Sangli,Soyabean,Summer,6.51,38,9,12,25.7,62.1,754,1900,11210,17-17-17,181,Cow Dung,945,11.9
Kolhapur,Sugarcane,Rabi,7.09,26,27,23,27.7,75.5,531,1737,1260,17-17-17,77,Compost,699,22.1
Satara,Wheat,Rabi,7.6,10,27,11,23.4,79.7,892,2253,12273,Zinc Sulphate,132,FYM,1447,21.8
Ahmednagar,Grapes,Kharif,5.94,36,29,38,23.9,95.9,953,2258,3710,Calcium Nitrate,178,Vermicompost,1012,5.2
Ahmednagar,Wheat,Kharif,9.48,14,12,27,30.8,72.0,509,900,4844,Magnesium Sulphate,156,Vermicompost,1489,15.6
Solapur,Soyabean,Rabi,7.02,14,17,14,24.7,66.8,981,2253,7431,28-28-0,62,Vermicompost,712,9.5
Pune,Cotton(lint),Rabi,7.11,16,19,22,18.3,58.2,1195,3740,14784,12-32-16,163,Compost,1901,11.4
Kolhapur,Cotton(lint),Rabi,8.01,25,6,22,28.0,52.4,525,3405,2103,14-35-14,155,Cow Dung,1045,5.4
Satara,Sugarcane,Rabi,7.73,27,16,33,29.5,76.0,695,2659,14898,17-17-17,54,Compost,985,20.0
Satara,Grapes,Kharif,7.03,15,28,33,29.4,64.7,578,273,8135,10-26-26,146,Cow Dung,1884,24.0
Sangli,Sugarcane,Kharif,7.1,11,12,23,23.5,70.1,596,3824,14054,12-32-16,63,Vermicompost,667,9.4
Solapur,Onion,Kharif,5.8,22,25,21,26.0,65.2,1172,1461,1627,Potash,129,Vermicompost,1389,11.8
Solapur,Cotton(lint),Rabi,6.55,19,23,30,28.1,65.5,500,4442,7418,Zinc Sulphate,169,Cow Dung,1430,9.1
Pune,Sugarcane,Summer,7.41,30,29,22,29.9,67.6,972,372,10205,Muriate of Potash,84,Vermicompost,1927,23.6
Solapur,Onion,Rabi,7.36,29,27,27,28.0,70.1,582,1561,12633,20-20-0,52,Compost,1327,5.2
Pune,Grapes,Rabi,7.98,20,5,22,29.1,76.3,408,2136,11473,Muriate of Potash,53,Cow Dung,636,16.7
Ahmednagar,Pomegranate,Summer,6.9,35,12,13,23.1,50.2,812,4650,13996,Urea,184,Vermicompost,1756,22.4
Ahmednagar,Wheat,Summer,5.89,30,14,32,16.8,72.0,1117,2337,13185,Potash,180,FYM,614,8.7
Satara,Sugarcane,Rabi,7.85,11,17,39,30.2,49.5,965,736,11638,10-26-26,130,Vermicompost,1775,16.8
Sangli,Onion,Summer,8.15,17,9,31,22.2,73.4,1091,2067,7334,Ammonium Sulphate,160,FYM,1812,6.0
Satara,Cotton(lint),Summer,7.72,33,26,19,25.3,68.8,503,1518,5269,DAP,108,Vermicompost,1572,21.3
Solapur,Wheat,Summer,6.87,31,13,32,29.2,64.1,525,3973,11155,Magnesium Sulphate,123,FYM,1975,10.5
Nashik,Sugarcane,Rabi,7.84,28,14,14,26.1,64.5,945,4885,4710,17-17-17,178,Vermicompost,1015,24.8
Ahmednagar,Cotton(lint),Rabi,9.74,29,18,27,28.8,66.6,1076,1046,14661,Magnesium Sulphate,108,FYM,1187,23.4
Nashik,Pomegranate,Summer,7.09,26,28,17,35.8,78.1,669,2584,6821,Magnesium Sulphate,167,Cow Dung,1519,19.7
Solapur,Wheat,Kharif,5.95,25,15,23,28.2,77.0,865,2862,8797,Ferrous Sulphate,187,Cow Dung,1795,14.9
Sangli,Soyabean,Summer,6.53,34,18,37,23.1,75.6,517,672,4350,NPK,152,FYM,1954,20.3
Satara,Cotton(lint),Summer,7.5,19,7,11,20.2,48.8,491,3874,10298,Urea,180,Vermicompost,1549,7.6
Ahmednagar,Soyabean,Rabi,5.72,14,25,37,28.7,71.9,1011,2833,14285,NPK,184,Compost,1593,11.2
Sangli,Grapes,Kharif,7.14,23,20,17,26.3,36.2,884,4443,13891,Potash,58,Compost,792,5.5
Satara,Sugarcane,Summer,7.3,33,24,25,20.5,39.4,486,1125,12498,17-17-17,148,Compost,1929,17.9
Satara,Pomegranate,Kharif,8.23,28,21,16,30.7,78.5,633,353,6726,20-20-0,190,Compost,1757,21.1
Nashik,Onion,Rabi,8.05,13,9,12,28.9,47.6,523,713,2955,12-32-16,163,FYM,730,23.9
Kolhapur,Sugarcane,Kharif,7.69,29,11,38,26.0,62.9,602,2996,4064,Ferrous Sulphate,111,Cow Dung,1786,18.7
Solapur,Cotton(lint),Rabi,5.27,25,21,13,34.7,81.9,431,4044,8035,Magnesium Sulphate,111,Cow Dung,1437,19.6
Pune,Soyabean,Summer,7.74,33,24,38,30.1,72.0,756,2042,14709,Single Super Phosphate,59,Compost,1644,22.9
Ahmednagar,Soyabean,Rabi,7.56,24,26,16,22.0,69.4,862,3545,14590,28-28-0,136,Cow Dung,1986,23.7
Pune,Wheat,Kharif,7.2,37,15,13,30.7,64.3,950,2744,1774,Magnesium Sulphate,60,FYM,1017,14.8
Sangli,Sugarcane,Kharif,5.62,18,16,18,27.0,66.5,493,4354,9482,Potash,111,Compost,1547,7.2
Pune,Sugarcane,Kharif,6.38,12,29,32,33.6,57.5,921,3248,13430,10-26-26,126,FYM,1205,14.3
Nashik,Cotton(lint),Summer,6.07,32,28,26,29.8,59.2,1126,568,2492,Ferrous Sulphate,153,FYM,876,16.1
Kolhapur,Soyabean,Kharif,5.39,18,6,26,27.9,66.0,807,4483,6978,Calcium Nitrate,105,Vermicompost,936,17.6
Ahmednagar,Cotton(lint),Kharif,7.0,27,23,29,27.7,67.8,499,1919,2021,Ferrous Sulphate,159,FYM,1352,24.8
Solapur,Cotton(lint),Kharif,6.36,13,9,23,21.2,63.1,643,3860,12681,Ammonium Sulphate,98,Vermicompost,1469,23.4
Satara,Grapes,Rabi,9.1,28,15,23,24.0,38.2,457,962,10984,28-28-0,65,Compost,998,12.9
Satara,Soyabean,Kharif,6.86,33,27,38,26.8,83.8,756,3984,13873,Calcium Nitrate,122,FYM,1697,7.3
Solapur,Cotton(lint),Rabi,8.04,13,23,34,20.5,76.2,890,4952,4533,28-28-0,165,Cow Dung,1099,9.3
Nashik,Soyabean,Kharif,5.74,18,11,22,27.9,62.6,719,3238,1927,Potash,142,Compost,1277,8.5
Ahmednagar,Cotton(lint),Rabi,6.58,10,25,13,23.0,76.6,418,1365,10791,28-28-0,186,FYM,1833,12.1
Pune,Onion,Rabi,7.08,10,26,22,24.4,60.7,756,3278,14779,Single Super Phosphate,82,FYM,569,22.5
Solapur,Cotton(lint),Summer,6.27,29,10,30,28.8,68.8,516,621,816,Ammonium Sulphate,137,Cow Dung,704,13.8
Satara,Cotton(lint),Summer,6.66,28,15,26,23.8,41.9,535,3305,730,Zinc Sulphate,88,Vermicompost,840,16.3
Pune,Pomegranate,Rabi,6.83,12,18,24,27.9,68.1,695,2521,4960,20-20-0,163,FYM,1555,8.6
Nashik,Onion,Rabi,6.81,19,8,39,26.6,61.6,924,147,8376,17-17-17,126,FYM,1566,14.9
Satara,Sugarcane,Summer,8.48,21,12,27,21.8,67.6,500,4083,3868,DAP,136,Cow Dung,617,22.5
Sangli,Soyabean,Rabi,7.3,27,13,20,29.5,85.5,779,1689,9028,Muriate of Potash,163,Compost,1388,20.5
Kolhapur,Pomegranate,Summer,7.38,23,6,13,29.7,64.8,554,4892,2807,Zinc Sulphate,105,FYM,514,6.6
Pune,Wheat,Summer,7.43,19,29,37,29.9,59.5,993,4077,13800,14-35-14,187,Vermicompost,1845,22.2
Solapur,Onion,Kharif,7.49,19,15,29,33.6,59.6,999,310,8518,Potash,90,Vermicompost,1410,10.5
Ahmednagar,Pomegranate,Kharif,6.93,27,24,20,24.4,48.0,504,985,3457,28-28-0,153,Cow Dung,1126,18.3
Pune,Sugarcane,Summer,6.74,33,26,19,18.2,69.9,1041,1847,9599,Muriate of Potash,148,Vermicompost,1860,7.9
Pune,Cotton(lint),Summer,7.13,10,11,31,23.4,71.4,1183,381,7960,12-32-16,108,FYM,1189,18.5
Pune,Grapes,Rabi,7.93,39,8,22,29.8,65.8,925,4260,4304,12-32-16,171,Vermicompost,1273,5.7
Solapur,Sugarcane,Summer,7.9,24,28,31,25.7,76.0,527,317,4330,Muriate of Potash,169,FYM,1904,17.0
Nashik,Onion,Summer,6.81,17,18,17,20.4,76.2,800,2109,5133,Ammonium Sulphate,90,Cow Dung,1412,17.9
Nashik,Grapes,Kharif,7.61,35,28,37,19.3,65.8,971,122,4486,Muriate of Potash,115,Vermicompost,619,9.9
Ahmednagar,Cotton(lint),Summer,6.84,12,5,22,31.7,72.0,1138,2971,12250,Muriate of Potash,111,FYM,525,23.7
Nashik,Sugarcane,Rabi,7.03,27,28,18,28.4,91.1,928,2503,8257,Calcium Nitrate,89,Compost,563,5.9
Solapur,Wheat,Summer,6.62,18,16,39,24.0,55.1,956,3938,14213,20-20-0,89,FYM,959,22.8
Ahmednagar,Soyabean,Kharif,6.85,25,23,10,33.5,74.3,949,227,14124,DAP,151,FYM,813,12.6
Ahmednagar,Soyabean,Kharif,8.07,30,9,10,36.6,66.0,523,2049,7775,Calcium Nitrate,64,Cow Dung,1304,19.3
Nashik,Onion,Kharif,7.07,24,12,24,30.1,77.5,759,821,9944,Single Super Phosphate,173,FYM,1739,18.0
Satara,Pomegranate,Kharif,7.11,39,15,31,29.0,55.5,463,995,1967,20-20-0,180,Cow Dung,1979,8.4
Nashik,Cotton(lint),Summer,5.84,14,26,13,28.1,67.4,1164,4545,7065,17-17-17,73,FYM,1485,11.4
Satara,Cotton(lint),Rabi,6.75,22,8,36,29.4,56.8,1173,319,7296,17-17-17,97,FYM,1235,15.6
Sangli,Soyabean,Rabi,6.81,31,19,29,33.8,43.8,1023,1905,14829,NPK,97,FYM,1388,21.9
Nashik,Sugarcane,Rabi,6.34,29,24,10,22.1,81.9,501,1705,126,14-35-14,96,Cow Dung,1481,24.1
Sangli,Cotton(lint),Summer,7.02,16,16,34,24.6,59.8,960,3802,6256,17-17-17,154,FYM,1078,5.4
Nashik,Wheat,Summer,6.66,25,24,21,25.8,54.9,676,2583,12941,10-26-26,162,Cow Dung,1996,12.1
Sangli,Wheat,Summer,7.06,16,26,20,28.3,58.1,626,4204,9224,Single Super Phosphate,57,Compost,1882,18.4
Kolhapur,Cotton(lint),Rabi,7.1,36,27,28,32.3,86.9,422,2739,6688,10-26-26,67,Cow Dung,1649,15.6
Sangli,Cotton(lint),Summer,6.24,34,25,24,27.7,80.7,1096,4411,14659,Ammonium Sulphate,157,Compost,1471,23.9
Satara,Soyabean,Summer,6.68,31,14,30,28.5,62.4,463,2172,14456,12-32-16,133,Cow Dung,1360,5.3
Pune,Onion,Kharif,7.06,25,28,19,28.7,75.3,556,3211,11750,Calcium Nitrate,114,Cow Dung,1206,13.8
Ahmednagar,Soyabean,Kharif,7.95,22,20,10,26.1,52.1,1194,554,5867,17-17-17,158,FYM,1610,18.4
Sangli,Onion,Rabi,7.21,26,27,33,24.3,71.3,789,2454,13737,Ferrous Sulphate,95,Vermicompost,1866,9.4
Pune,Wheat,Kharif,6.47,18,12,12,26.3,59.8,548,2251,14144,NPK,115,Vermicompost,894,19.5
Solapur,Onion,Kharif,7.32,21,24,23,23.4,70.2,762,3339,566,Potash,129,FYM,983,6.6
Kolhapur,Soyabean,Kharif,8.37,22,12,24,23.5,48.5,1080,4631,7789,Muriate of Potash,199,Compost,1165,14.0
Kolhapur,Cotton(lint),Summer,7.73,35,10,10,27.5,57.9,863,1203,13636,Calcium Nitrate,189,FYM,955,18.5
Solapur,Onion,Kharif,7.44,18,7,19,24.1,67.2,1044,4211,2800,NPK,196,Vermicompost,1999,10.3
Solapur,Soyabean,Kharif,7.58,14,12,31,33.4,67.1,798,2477,9790,Ammonium Sulphate,199,Cow Dung,709,6.5
Solapur,Wheat,Kharif,8.15,16,27,10,26.6,47.4,804,1386,8909,17-17-17,155,FYM,1024,24.1
Satara,Grapes,Summer,7.86,10,14,24,31.4,53.3,531,456,3877,Potash,175,Compost,1175,23.3
Solapur,Onion,Rabi,7.45,13,9,12,21.0,70.1,596,3528,12845,Ferrous Sulphate,194,FYM,1501,23.5
Satara,Wheat,Summer,7.85,37,15,30,21.1,68.7,1046,4094,2787,DAP,62,Vermicompost,1395,24.6
Sangli,Wheat,Summer,6.13,35,8,29,25.6,72.9,434,326,5432,Zinc Sulphate,77,Cow Dung,1503,8.7
Nashik,Sugarcane,Kharif,5.8,13,21,32,29.7,67.3,819,3530,6906,17-17-17,172,Vermicompost,806,8.2
Solapur,Grapes,Rabi,7.13,25,7,31,24.0,52.4,776,2411,5156,20-20-0,116,Vermicompost,1599,5.7
Solapur,Onion,Kharif,7.05,14,22,21,25.6,60.8,798,2646,9796,Ferrous Sulphate,54,Vermicompost,1545,22.8
Kolhapur,Soyabean,Kharif,6.56,31,12,28,30.0,71.4,619,2018,12259,28-28-0,149,Vermicompost,559,20.1
Pune,Onion,Rabi,7.66,13,28,25,24.4,53.0,1096,510,279,Ammonium Sulphate,192,Cow Dung,885,17.7
Nashik,Onion,Rabi,5.51,15,16,36,23.0,51.5,916,2496,8096,NPK,130,Vermicompost,555,23.6
Kolhapur,Grapes,Summer,6.57,35,25,17,28.8,61.4,982,3789,10877,Ammonium Sulphate,93,Compost,667,16.5
Sangli,Pomegranate,Rabi,6.61,32,20,33,20.8,68.3,741,1632,14962,28-28-0,168,Compost,1935,7.6
Solapur,Wheat,Summer,5.69,12,18,23,24.5,42.9,1152,3567,10361,28-28-0,95,Vermicompost,1216,8.5
Kolhapur,Wheat,Summer,8.2,34,25,27,26.5,62.1,815,4852,5564,20-20-0,117,Compost,1364,7.6
Satara,Wheat,Kharif,5.91,17,20,32,28.1,71.2,855,4248,6820,12-32-16,177,Vermicompost,1714,11.2
Pune,Wheat,Kharif,6.53,26,8,39,29.3,73.6,696,2425,13150,Magnesium Sulphate,98,Cow Dung,981,12.6
Pune,Grapes,Kharif,7.73,38,5,10,29.9,53.0,730,2789,1021,12-32-16,151,Cow Dung,1939,20.9
Satara,Soyabean,Rabi,7.52,27,5,11,24.8,69.5,1104,1021,3192,Magnesium Sulphate,126,Compost,839,8.8
Solapur,Cotton(lint),Rabi,6.11,27,26,33,29.8,76.9,1079,1375,13132,20-20-0,69,Compost,1295,19.5
Solapur,Sugarcane,Summer,7.55,35,19,21,28.0,72.3,738,202,5627,Calcium Nitrate,160,Vermicompost,1391,14.8
Nashik,Pomegranate,Summer,7.23,34,24,26,28.9,60.1,1147,3658,9802,Urea,195,FYM,1275,25.0
Satara,Pomegranate,Summer,8.87,21,24,11,23.5,36.4,697,4010,11891,Calcium Nitrate,164,Vermicompost,1782,20.5
Solapur,Wheat,Rabi,7.32,34,7,37,28.7,67.5,1159,3156,13827,Calcium Nitrate,61,Vermicompost,1873,24.4
Pune,Wheat,Summer,6.89,34,18,26,25.4,83.9,1076,3136,13683,Single Super Phosphate,128,Cow Dung,1100,11.8
Solapur,Sugarcane,Summer,6.31,10,13,30,26.2,74.9,711,779,11568,Single Super Phosphate,168,FYM,936,7.5
Sangli,Wheat,Rabi,6.4,32,23,16,26.7,74.1,982,4017,7565,20-20-0,85,FYM,1745,15.1
Solapur,Cotton(lint),Kharif,6.34,21,12,15,34.5,67.0,1142,4219,2819,10-26-26,57,Vermicompost,1936,7.5
Nashik,Pomegranate,Rabi,8.1,20,6,15,22.3,75.8,454,4052,8213,12-32-16,77,Cow Dung,1873,14.8
Ahmednagar,Onion,Summer,7.01,22,8,31,30.8,68.6,1093,2382,13024,14-35-14,165,Compost,1582,10.4
Kolhapur,Sugarcane,Kharif,7.45,12,5,17,31.7,44.0,933,1623,9315,Calcium Nitrate,135,Cow Dung,651,14.8
Ahmednagar,Pomegranate,Rabi,8.21,36,15,14,29.3,75.7,1194,3318,251,12-32-16,98,Compost,1433,24.0
Sangli,Soyabean,Kharif,5.11,34,9,24,23.9,54.7,504,4425,8304,Potash,129,Cow Dung,1039,10.8
Ahmednagar,Pomegranate,Kharif,8.02,17,6,35,32.8,65.8,574,4932,9006,Magnesium Sulphate,54,FYM,724,24.9
Solapur,Sugarcane,Summer,7.04,12,17,16,24.7,73.9,693,735,11442,Muriate of Potash,95,Cow Dung,1841,9.6
Nashik,Cotton(lint),Rabi,7.35,26,21,12,28.7,56.0,950,3938,3725,NPK,147,Vermicompost,1062,9.2
Pune,Grapes,Summer,6.34,34,21,34,26.5,53.2,774,1629,8540,10-26-26,151,Compost,1802,15.9
Pune,Soyabean,Rabi,6.4,22,22,19,24.5,70.7,849,1018,1244,Calcium Nitrate,51,Cow Dung,1057,21.8
Sangli,Onion,Rabi,7.39,19,25,12,28.2,51.6,844,3787,4582,12-32-16,74,Cow Dung,1997,20.0
Ahmednagar,Wheat,Rabi,8.91,26,13,39,33.5,62.7,459,2083,4634,12-32-16,50,Compost,1117,19.5
Nashik,Sugarcane,Kharif,7.8,12,10,23,27.0,78.5,791,817,11635,14-35-14,117,Cow Dung,523,10.7
Kolhapur,Soyabean,Kharif,8.01,22,24,31,33.9,84.5,789,695,14735,Magnesium Sulphate,118,Compost,867,5.5
Solapur,Sugarcane,Summer,6.85,31,7,12,25.3,43.6,611,4171,820,Single Super Phosphate,65,FYM,1498,8.2
Ahmednagar,Onion,Rabi,6.52,15,12,10,26.3,62.4,1066,1129,4668,Ferrous Sulphate,67,Compost,834,12.0
